imdbID,Title,YearSinceRelease,AAMP Rating,Runtime,Genre,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Language,Country,Budget,Revenue
tt0104549,Jennifer 8,24,R,124,"Crime, Drama, Mystery",6.2,6.2,5.9,6.2,English,USA,20000000,11390479
tt0104558,Police Story 3: Supercop,24,R,91,"Action, Comedy, Crime",6.1,6.8,6.6,6.9,"Cantonese, English, Mandarin, Malay, Thai",Hong Kong,900000,20483423
tt0104573,Juice,24,R,95,"Action, Crime, Drama",6,7.1,6.1,7.1,English,USA,5000000,20146880
tt0104691,The Last of the Mohicans,24,R,112,"Action, Adventure, Drama",6.9,7.7,6.4,7.8,"English, French, Mohawk",USA,40000000,75505856
tt0104692,The Lawnmower Man,24,R,108,"Horror, Sci-Fi",4.8,5.4,4.9,5.4,English,"UK, USA, Japan",10000000,32101000
tt0104694,A League of Their Own,24,PG,128,"Comedy, Drama, Sport",6.6,6.6,6.3,7.2,English,USA,40000000,107458785
tt0104714,Lethal Weapon 3,24,R,118,"Action, Crime, Thriller",6.6,6.7,6.3,6.7,English,USA,35000000,321731527
tt0104779,Bitter Moon,24,R,139,"Drama, Romance, Thriller",7.2,6.8,6.2,7.1,"English, French","France, UK, USA",5000000,1862805
tt0104797,Malcolm X,24,PG-13,202,"Biography, Drama, Romance",6.5,7.2,6.8,7.7,English,"USA, Japan",34000000,48169908
tt0104815,El mariachi,24,R,81,"Action, Crime, Drama",6.1,5.7,6.4,6.9,Spanish,USA,220000,2040920
tt0104850,Memoirs of an Invisible Man,24,PG-13,99,"Comedy, Romance, Sci-Fi",5.9,6,5.7,5.9,English,"USA, France",40000000,14358033
tt0104868,The Mighty Ducks,24,PG,100,"Comedy, Drama, Family",6,5.8,6,6.4,English,USA,10000000,50752337
tt0104928,Mr. Saturday Night,24,R,119,"Comedy, Drama",6.7,6.1,6.1,5.8,English,USA,43000000,13300000
tt0104952,My Cousin Vinny,24,R,120,"Comedy, Crime",6.2,6.6,6.3,7.5,English,USA,11000000,52929168
tt0105017,Noises Off...,24,PG-13,101,Comedy,6.4,6.8,6.4,7.5,English,USA,12000000,2280148
tt0105078,Out on a Limb,24,PG,93,Comedy,6.4,5.9,5.9,5.2,English,USA,11000000,1659542
tt0105104,Passenger 57,24,R,84,"Action, Crime, Thriller",6.2,5.7,5.2,5.8,English,USA,15000000,44065653
tt0105112,Patriot Games,24,R,117,"Action, Thriller",6.6,6.6,6.1,6.9,English,USA,45000000,178051587
tt0105128,Pet Sematary II,24,R,100,"Action, Horror, Thriller",4.9,5.7,5.5,4.7,English,USA,8000000,17092453
tt0105151,The Player,24,R,124,"Comedy, Drama",6.5,6.8,6.1,7.6,English,USA,8000000,21706101
tt0105211,Radio Flyer,24,PG-13,114,Drama,5.9,4.8,5.7,6.9,English,USA,35000000,4651977
tt0105219,Rapid Fire,24,R,95,"Action, Crime, Drama",5.7,5.4,5.7,6.2,"English, Cantonese",USA,10000000,14356479
tt0105236,Reservoir Dogs,24,R,99,"Crime, Thriller",7.9,7.7,5.6,8.4,English,USA,1200000,14661007
tt0105323,Scent of a Woman,24,R,156,Drama,5.8,7.5,6.2,8,English,USA,31000000,134095253
tt0105378,Shadows and Fog,25,PG-13,85,Comedy,6.9,6.9,6.4,6.8,English,USA,14000000,2735731
tt0105399,Twin Dragons,24,PG-13,100,"Action, Comedy",6.2,6.4,6.6,6.4,Cantonese,Hong Kong,10000000,8359717
tt0105414,Single White Female,24,R,107,"Drama, Thriller",6.2,6.1,6.2,6.3,English,USA,16000000,48017402
tt0105488,Strictly Ballroom,24,PG,94,"Comedy, Drama, Romance",7.1,7,6.3,7.3,"English, Spanish",Australia,3000000,33946224
tt0105508,Swoon,24,UNRATED,93,"Biography, Crime, Drama",6.4,6.3,6.5,6.8,English,USA,250000,340147
tt0105652,Pushing Hands,24,UNRATED,105,"Comedy, Drama",7.4,7.2,6.4,7.3,"Mandarin, English",Taiwan,400000,152322
tt0105665,Twin Peaks: Fire Walk with Me,24,R,135,"Horror, Mystery, Thriller",7.4,6.7,5.3,7.2,English,"France, USA",10000000,4160851
tt0105690,Under Siege,24,R,103,"Action, Thriller",6.3,5.5,5,6.4,"English, Italian","France, USA",35000000,156563139
tt0105695,Unforgiven,24,R,131,Western,7.2,6.6,6.7,8.3,English,USA,14000000,159157447
tt0105793,Wayne's World,24,PG-13,94,"Comedy, Music",5.9,6.3,5.7,7,"English, Cantonese",USA,20000000,121697323
tt0105824,Wind,24,PG-13,126,"Action, Drama, Sport",6.8,6.4,5.7,6.4,English,USA,29000000,5519569
tt0106226,The Age of Innocence,23,PG,139,"Drama, Romance",7.7,7.4,6.8,7.2,"English, Italian",USA,34000000,32255440
tt0106233,Airborne,23,PG,91,"Adventure, Comedy, Sport",6.1,6.2,5.5,6.2,English,USA,2600000,2850263
tt0106246,Alive,23,R,120,"Action, Adventure, Biography",6.4,6.8,5.9,7,English,"USA, Canada",32000000,36733909
tt0106364,Batman: Mask of the Phantasm,23,PG,76,"Animation, Action, Adventure",7,7.4,5.9,7.9,English,USA,6000000,5617391
tt0106375,Beethoven's 2nd,23,PG,89,"Comedy, Family, Romance",4.9,5.2,5.5,4.7,English,USA,15000000,118243066
tt0106447,"Bodies, Rest & Motion",23,R,95,Drama,5.9,5.6,6.1,5.6,English,USA,2500000,764083
tt0106452,Body Snatchers,23,R,87,"Sci-Fi, Horror, Thriller",5.8,5.7,5.9,5.9,English,USA,13000000,428868
tt0106453,Body of Evidence,23,R,99,"Drama, Romance, Thriller",5.8,5.8,5.1,4.3,English,"Germany, USA",30000000,13273595
tt0106464,Bopha!,23,PG-13,120,Drama,6.5,6.3,6.2,6.5,"English, Afrikaans",USA,12000000,212483
tt0106489,A Bronx Tale,23,R,121,"Crime, Drama",7.3,6.9,5.9,7.8,"English, Italian",USA,22000000,17266971
tt0106505,Calendar Girl,23,PG-13,90,"Drama, Comedy",4.9,5.3,5.5,4.9,English,USA,13000000,2570145
tt0106519,Carlito's Way,23,R,144,"Crime, Drama",6.1,7.3,6.3,7.9,"English, Spanish",USA,30000000,36516012
tt0106521,Carnosaur,23,R,83,"Horror, Sci-Fi",4.7,3.9,4.9,3.5,English,USA,1000000,1753979
tt0106557,Children of the Corn II: The Final Sacrifice,24,R,92,"Horror, Thriller",4.1,4.8,4.7,4.2,English,USA,900000,6980986
tt0106582,Cliffhanger,23,R,112,"Action, Adventure, Thriller",5.7,6.4,5.8,6.4,English,"USA, Italy, France",70000000,255000211
tt0106611,Cool Runnings,23,PG,98,"Adventure, Comedy, Family",6.1,6.4,6.2,6.9,"English, German, Russian",USA,14000000,154864401
tt0106627,The Crush,23,R,89,"Drama, Romance, Thriller",5.4,5.6,5.5,5.7,English,USA,6000000,13609396
tt0106664,The Dark Half,23,R,122,"Horror, Mystery",5.7,6.1,6,5.9,English,USA,15000000,10611160
tt0106677,Dazed and Confused,23,R,102,Comedy,7.2,7.3,5.9,7.7,English,USA,6900000,7993039
tt0106697,Demolition Man,23,R,115,"Action, Crime, Sci-Fi",5.5,6.3,6.1,6.6,English,USA,57000000,159055768
tt0106701,Dennis the Menace,23,PG,94,"Comedy, Family",5.3,5.1,6.1,5.5,English,USA,35000000,117270765
tt0106761,Double Dragon,22,PG-13,96,"Action, Adventure, Comedy",5.4,4.5,4.9,3.6,English,"USA, France, Denmark",3500000,2341309
tt0106770,Dragon: The Bruce Lee Story,23,PG-13,120,"Action, Biography, Drama",5.8,6.6,6,7,"English, Cantonese",USA,14000000,63513743
tt0106856,Falling Down,23,R,113,"Drama, Thriller",6.3,5,6.3,7.6,"English, Spanish, Korean","France, USA, UK",25000000,40903593
tt0106912,Fire in the Sky,23,PG-13,109,"Biography, Drama, Mystery",5.5,6.5,5.5,6.5,English,USA,19885552,19724334
tt0106918,The Firm,23,R,154,"Drama, Mystery, Thriller",6.1,6.3,6.6,6.8,English,USA,42000000,270248367
tt0106941,For Love or Money,23,PG,96,"Comedy, Drama, Romance",6.3,5.9,6.1,6.1,English,USA,30000000,11146270
tt0106950,Fortress,24,R,95,"Action, Crime, Sci-Fi",6,5.3,5.6,5.8,English,"Australia, USA",8000000,6739141
tt0106965,Free Willy,23,PG,112,"Adventure, Drama, Family",6.1,5.7,5.6,5.8,English,"USA, France",20000000,153698625
tt0106977,The Fugitive,23,PG-13,130,"Action, Adventure, Crime",6.3,6.5,6.4,7.8,"English, Polish, Spanish",USA,40000000,368875760
tt0107004,Geronimo: An American Legend,23,PG-13,115,"Drama, History, Western",5.9,6.4,6.2,6.4,English,USA,35000000,18635620
tt0107034,The Good Son,23,R,87,"Drama, Thriller",6,6.5,6.3,6.4,English,USA,17000000,44456478
tt0107048,Groundhog Day,23,PG,101,"Comedy, Fantasy, Romance",6.1,6.5,6,8.1,"English, French, Italian",USA,14600000,70906973
tt0107076,Hard Target,23,R,97,"Action, Thriller",6.5,5.4,5.5,6.1,English,USA,18000000,74189677
tt0107120,Hocus Pocus,23,PG,96,"Comedy, Family, Fantasy",5.6,6.1,6.2,6.7,English,USA,28000000,39514713
tt0107144,Hot Shots! Part Deux,23,PG-13,86,"Action, Comedy",6.3,5.9,6,6.6,English,USA,25000000,133752825
tt0107151,The House of the Spirits,23,R,140,"Drama, Romance",6.9,6.9,6.5,6.9,"English, Spanish","Portugal, Germany, Denmark, USA, France",25000000,6265311
