imdbID,budget,revnue
tt0102707,0,0
tt0102714,0,0
tt0102723,0,0
tt0102737,0,0
tt0102756,0,0
tt0102764,0,0
tt0102767,0,0
tt0102770,0,0
tt0102774,0,0
tt0102778,0,0
tt0102779,0,0
tt0102781,0,0
tt0102783,0,0
tt0102784,0,0
tt0102788,0,0
tt0102799,0,3370574
tt0102814,0,0
tt0102815,0,0
tt0102816,0,0
tt0102819,NF,NF
tt0102824,0,0
tt0102825,0,0
tt0102830,0,1445599
tt0102831,0,0
tt0102844,0,0
tt0102851,NF,NF
tt0102855,0,0
tt0102867,0,0
tt0102869,0,0
tt0102870,NF,NF
tt0102871,0,0
tt0102886,0,0
tt0102896,0,0
tt0102899,NF,NF
tt0102901,NF,NF
tt0102917,0,0
tt0102928,0,0
tt0102930,0,0
tt0102932,0,0
tt0102933,0,0
tt0102938,NF,NF
tt0102958,0,0
tt0102964,91,0
tt0102982,0,0
tt0102985,NF,NF
tt0102986,0,0
tt0102987,0,0
tt0102990,0,0
tt0102991,0,0
tt0102998,0,0
tt0103008,0,0
tt0103009,0,0
tt0103010,0,0
tt0103028,0,0
tt0103042,0,0
tt0103045,0,0
tt0103077,0,0
tt0103078,NF,NF
tt0103085,0,0
tt0103103,0,0
tt0103110,0,0
tt0103121,0,0
tt0103123,0,0
tt0103135,0,0
tt0103150,0,0
tt0103163,0,0
tt0103168,0,0
tt0103170,0,0
tt0103178,0,0
tt0103181,0,0
tt0103183,NF,NF
tt0103186,0,0
tt0103200,0,0
tt0103203,0,0
tt0103207,0,0
tt0103224,0,0
tt0103228,0,0
tt0103231,0,0
tt0103242,0,0
tt0103246,0,0
tt0103258,0,0
tt0103263,0,0
tt0103280,0,0
tt0103286,0,0
tt0103291,0,0
tt0103292,0,0
tt0103294,0,0
tt0103296,0,0
tt0103305,0,0
tt0103307,0,0
tt0103311,0,0
tt0103313,0,0
tt0103314,0,0
tt0103322,0,0
tt0103325,0,0
tt0103327,0,0
tt0103328,0,0
tt0103334,0,0
tt0103337,0,0
tt0103340,0,0
tt0103343,0,0
tt0103409,0,0
tt0103601,0,0
tt0103602,0,0
tt0103608,0,0
tt0103627,0,0
tt0103628,NF,NF
tt0103669,NF,NF
tt0103675,0,0
tt0103681,0,0
tt0103696,0,0
tt0103698,0,0
tt0103699,0,0
tt0103704,0,0
tt0103705,0,0
